"omega","prev","b0","b1","r2"
0.1,0.594798539852731,0.383838383838384,2.57312311274723,0.488248881250615
0.1,0.596015193326517,0.388888888888889,2.60616237066204,0.494236629870416
0.1,0.597230667402825,0.393939393939394,2.63364422426739,0.49964710248367
0.1,0.598444948316522,0.398989898989899,2.68224129436931,0.501902202199981
0.1,0.599658022359889,0.404040404040404,2.68118147752212,0.509550399181506
0.1,0.600869875883195,0.409090909090909,2.73478671994072,0.508932858885589
0.1,0.602080495295265,0.414141414141414,2.77059676107102,0.516936762017172
0.1,0.603289867064035,0.419191919191919,2.8049244370931,0.521800664836409
0.1,0.604497977717112,0.424242424242424,2.82662677853369,0.525357442742161
0.1,0.605704813842319,0.429292929292929,2.87158132522702,0.530674077406025
0.1,0.60691036208824,0.434343434343434,2.92289372646829,0.535104523936609
0.1,0.608114609164752,0.439393939393939,2.93786394336312,0.539376403072567
