"","x"
"95",-0.0182191759972595
"96",-0.0182191759972595
"97",-0.0182191759972595
"98",-0.0182191759972595
"99",-0.0182191759972595
"100",-0.0182191759972595
"101",-0.0182191759972595
"102",-0.0182191759972595
"103",-0.0182191759972595
"104",-0.0182191759972595
"105",-0.0182191759972595
"106",-0.0182191759972595
"107",-0.0182191759972595
"108",-0.0182191759972595
"109",-0.0182191759972595
"110",-0.0182191759972595
"111",-0.0182191759972595
"112",-0.0182191759972595
"113",-0.0182191759972595
"114",-0.0182191759972595
"115",-0.0182191759972595
"116",-0.0182191759972595
"117",-0.0182191759972595
"118",-0.0182191759972595
"119",-0.0182191759972595
"120",-0.0182191759972595
"121",-0.0182191759972595
"122",-0.0182191759972595
"123",-0.0182191759972595
"124",-0.0182191759972595
"125",-0.0182191759972595
"126",-0.0181652359308138
"127",-0.0181652359308138
"128",-0.0181652359308138
"129",-0.0181652359308138
"130",-0.0181652359308138
"131",-0.0181652359308138
"132",-0.0181652359308138
"133",-0.0181652359308138
"134",-0.0181652359308138
"135",-0.0181652359308138
"136",-0.0181652359308138
"137",-0.0181652359308138
"138",-0.0181652359308138
"139",-0.0181652359308138
"140",-0.0181652359308138
"141",-0.0181652359308138
"142",-0.0181652359308138
"143",-0.0181652359308138
"144",-0.0181652359308138
"145",-0.0181652359308138
"146",-0.0181652359308138
"147",-0.0181652359308138
"148",-0.0181652359308138
"149",-0.0181652359308138
"150",-0.0181652359308138
"151",-0.0181652359308138
"152",-0.0181652359308138
"153",-0.0181652359308138
"154",-0.0181652359308138
"155",-0.0181652359308138
"156",-0.0181652359308138
"157",-0.0181652359308138
"158",-0.0181652359308138
"159",-0.0181652359308138
"160",-0.0181652359308138
"161",-0.0181652359308138
"162",-0.0181652359308138
"163",-0.0181652359308138
"164",-0.0181652359308138
"165",-0.0181652359308138
"166",-0.0181652359308138
"167",-0.0181652359308138
"168",-0.0181652359308138
"169",-0.0181652359308138
"170",-0.0181652359308138
"171",-0.0181652359308138
"172",-0.0181652359308138
"173",-0.0181652359308138
"174",-0.0181652359308138
"175",-0.0181652359308138
"176",-0.0181652359308138
"177",-0.0181652359308138
"178",-0.0181652359308138
"179",-0.0181652359308138
"180",-0.0181652359308138
"181",-0.0181652359308138
"182",-0.0181652359308138
"183",-0.0181652359308138
"184",-0.0181652359308138
"185",-0.0181652359308138
"186",-0.0181652359308138
"187",-0.018111390538514
"188",-0.018111390538514
"189",-0.018111390538514
"190",-0.018111390538514
"191",-0.018111390538514
"192",-0.018111390538514
"193",-0.018111390538514
"194",-0.018111390538514
"195",-0.018111390538514
"196",-0.018111390538514
"197",-0.018111390538514
"198",-0.018111390538514
"199",-0.018111390538514
"200",-0.018111390538514
"201",-0.018111390538514
"202",-0.018111390538514
"203",-0.018111390538514
"204",-0.018111390538514
"205",-0.018111390538514
"206",-0.018111390538514
"207",-0.018111390538514
"208",-0.018111390538514
"209",-0.018111390538514
"210",-0.018111390538514
"211",-0.018111390538514
"212",-0.018111390538514
"213",-0.018111390538514
"214",-0.018111390538514
"215",-0.018111390538514
"216",-0.018111390538514
"217",-0.018111390538514
"218",-0.018111390538514
"219",-0.018111390538514
"220",-0.018111390538514
"221",-0.018111390538514
"222",-0.018111390538514
"223",-0.018111390538514
"224",-0.018111390538514
"225",-0.018111390538514
"226",-0.018111390538514
"227",-0.018111390538514
"228",-0.018111390538514
