"","b0","b1","b2","prev","ew","r2","auc","f1","r2.del","auc.del","f1.del","r2.diff","auc.diff","f1.diff","ew0"
"625",0.5,0.5,0.289530122419819,0.629,0.0261707599908091,0.0714085427824879,0.65735291505729,0.323666978484565,0.429906065792263,0.0466581716677368,0.2567381898971,0.0214692184514712,0.029303631297465,0.0661217068547862,0.111295557619269
"626",0.5,0.5,0.0210081557743251,0.641,0.00046512660270286,0.0516727656852098,0.635295533048602,0.195227765726681,0.00567032145530885,-0.00112501617832995,0.0356047572742915,0.000291349148591746,-0.000715522727344653,0.00671205608421097,0.0780392430957882
"627",0.5,0.5,0.980457381810993,0.593,0.16537314706127,0.191738898221525,0.756632071836625,0.594031922276197,4.90310785148871,0.256118271813101,0.899877958314389,0.15925788939612,0.154274723157595,0.281363458664337,0.229284520535488
"628",0.5,0.5,0.258271298138425,0.626,0.0191067658251704,0.0513547154204416,0.639131553909498,0.383333333333333,0.353309871983252,0.0214546956504359,0.125921273031826,0.0134072235092342,0.0134243574659831,0.0428714000570288,0.0827480599809312
"629",0.5,0.5,9.95388254523277e-05,0.6165,-0.000443260074302043,0.0379864399430603,0.6147968,0.315094339622642,-0.00798043868978574,-0.000287925514016337,0.0313957576467833,-0.000305587174721067,-0.000177066666666614,0.00959149332283132,0.0546582388370993
"630",0.5,0.5,0.0105397950392216,0.6085,5.40087754087866e-05,0.0599666586686064,0.642166688610928,0.321561338289963,0.00104364656388749,0.000109909939467551,0.0230627102141973,6.2518749788909e-05,7.05727452271487e-05,0.0072488967558188,0.0873023403059106
"631",0.5,0.5,0.141381599241868,0.625,0.00355266141974933,0.0597423619697405,0.641437870530146,0.347746090156394,0.0556294237815392,0.00615379461668595,0.0262289508419664,0.00314829531732774,0.00392313474910733,0.0088878949446074,0.080359671615024
"632",0.5,0.5,0.329033027868718,0.617,0.0355522051935328,0.0631819617725851,0.64199508275112,0.380017841213202,0.876865984485772,0.0587284971562163,0.997252858648934,0.0295184171749159,0.0356119689730906,0.189747570942932,0.087865494258465
"633",0.5,0.5,0.189023687969893,0.605,0.00961897072990756,0.0680374432669302,0.648085319289006,0.380122057541412,0.14359837118422,0.0132503334815473,0.0462765544209173,0.00854326683112783,0.00847504937458854,0.0168127050234268,0.0981208495333825
"634",0.5,0.5,0.875730022089556,0.618,0.143435305203455,0.182049342374543,0.752048626128757,0.554829339143065,3.40882785770061,0.219316609424559,0.856944444444445,0.140757337276959,0.135269833552744,0.256043158003942,0.215928817436467
"635",0.5,0.5,0.738452826859429,0.619,0.0914554928320018,0.144436869640932,0.727061281737525,0.512780790085205,1.94191489661554,0.154009597814714,1.07266857168894,0.0953406602954151,0.097030748963515,0.265379542683958,0.164712463421878
"636",0.5,0.5,0.920586476568133,0.575,0.152462900327658,0.197379387963697,0.756975620008407,0.591966173361522,3.39635422398744,0.209607162887858,0.732279959942139,0.152483235855035,0.131172761664565,0.250239554656486,0.236093154199886
"637",0.5,0.5,0.321216424461454,0.6175,0.0233439327175031,0.0815968740862559,0.66464821964822,0.411297440423654,0.37131004474305,0.0344080493537015,0.264863514073948,0.0220940108212638,0.0221085371085371,0.0861260398359948,0.100035958733041
"638",0.5,0.5,0.128308481303975,0.5935,0.00172719132127963,0.0516548137369223,0.63430015423247,0.422077922077922,0.0382066828242757,0.00687432976549387,0.0640248872466446,0.0019009308237401,0.004330618331995,0.0253974241526109,0.072555699955431
