"","Difference","Prevalence","R2","AUC","F1","IMV"
"657",0.0355288241674008,0.2344,0.0702120286770382,0.667786290177048,0.132176234979973,0.0444562575649928
"658",0.0307025255472111,0.0147,0.0777548178781939,0.656213684860646,0.634730538922156,0.248393371565212
"659",0.186624812246128,0.0601,0.135348143353749,0.709127543107925,0.556773688332028,0.242110229709445
"660",0.130902803459473,0.0235,0.132250123333729,0.707305758420351,0.692083149049093,0.311666389232571
"661",0.0872209778856962,0.1928,0.0969729860283955,0.69119932249567,0.813578324509499,0.0812104889330855
"662",0.0133389633466926,0.078,0.119000487087877,0.69303395431214,0.517165613842351,0.200056891691444
"663",0.102692608997805,0.0548,0.0574149305245526,0.639092805028855,0.679451607638322,0.139988050381091
"664",0.260192294501984,0.1773,0.163416692331313,0.749242501225381,0.444832944832945,0.137685149407921
"665",0.211927594622567,0.2436,0.157010136837375,0.749850413596963,0.857282861693005,0.0850121922979793
"666",0.199521876042336,0.0403,0.0896729804763845,0.671173625493712,0.570407104140238,0.215520463205234
"667",0.400701397140223,0.1104,0.226175707165566,0.779871809578531,0.647207480414455,0.252336387028554
"668",0.0466377363312351,0.0677,0.0452608923198105,0.622354525085109,0.697807149294082,0.104004514196573
"669",0.0716849281562962,0.2743,0.0663305183984337,0.673478828133588,0.0635983263598326,0.0331974739604017
"670",0.20061715495348,0.124,0.102786760729538,0.689769844517185,0.430121890131908,0.127688691746674
"671",0.513545276176521,0.0286,0.327322125038513,0.826617319610996,0.754336761192479,0.500053438692193
"672",0.185977512601572,0.0429,0.0929962308601142,0.673879820642837,0.544961813254496,0.216023093631994
"673",0.406036427397262,0.1454,0.210089249458848,0.772243842536299,0.61682751121381,0.197360698319251
"674",0.193606110814634,0.2513,0.0991514740886292,0.709551988990428,0.854606384855077,0.0572163339644458
"675",0.193761836961308,0.269,0.104601780124235,0.718799306458604,0.86878453038674,0.0552196843982724
"676",0.204723469238802,0.2895,0.132391757009995,0.74718109871397,0.216820987654321,0.0580799695119305
"677",0.266271935765123,0.2511,0.158823577565125,0.763546049161377,0.314035087719298,0.0888972625598563
"678",0.0289004650327138,0.2148,0.0751463136734274,0.673561676546603,0.156306578153289,0.0526770427462481
"679",0.364925157993224,0.0331,0.267527665087761,0.793428874436485,0.760637366485729,0.44078716997904
"680",0.0870258446687874,0.0815,0.0535792347834594,0.635451429017568,0.432937685459941,0.103641055774826
"681",0.214472151109089,0.1749,0.105511335549961,0.698186577557385,0.36676217765043,0.097101165350739
"682",0.388018914225022,0.16,0.236960934079949,0.793487967914439,0.593302939789341,0.198083144263619
"683",0.654784925474949,0.00680000000000003,0.48921603830641,0.895090395919629,0.829307407036183,0.69467295541088
