"","Difference","Prevalence","R2","AUC","F1","IMV"
"717",0.250457184825351,0.1552,0.134549151144918,0.722989553144716,0.419108042545251,0.133119892499094
"718",0.150381519811139,0.0196,0.114753753258018,0.692972689553676,0.625570776255708,0.296920087456944
"719",0.0820667408378692,0.0178,0.0688327971777283,0.650031503926817,0.56800176056338,0.22373993559082
"720",0.0177834075916194,0.2095,0.0546034701963291,0.646225324129499,0.116057721829905,0.0416089447516058
"721",0.125475667870966,0.117,0.0933458123914476,0.679552284912679,0.757332575811377,0.122863759521061
"722",0.23202824261085,0.0746,0.122892389315521,0.703424479096351,0.548323471400395,0.205018571503802
"723",0.0292025749495995,0.216,0.0439223263231069,0.630235167991187,0.0947775628626693,0.0318923848900124
"724",0.351824888249312,0.0158,0.202123335306758,0.757352622034259,0.719090825772157,0.417511335934304
"725",0.492692801196138,0.0508999999999999,0.302086942441169,0.814944505497148,0.733754906236372,0.422593343277305
"726",0.354480126588329,0.0488,0.15854692366009,0.730489628887269,0.704030922142463,0.288273010110397
"727",0.144293730825959,0.1211,0.103840229698246,0.686348329543626,0.442297915607524,0.128220547100037
"728",0.402537436562412,0.0723,0.258106018977883,0.793234343812266,0.665503489531406,0.341477477564074
"729",0.291852734069834,0.0831,0.145760004721356,0.723057656739837,0.579691516709511,0.217895013840648
"730",0.175802104131101,0.1237,0.100357073657452,0.684403564729546,0.76301399048363,0.123485657307021
"731",0.256425439867236,0.1502,0.147613826676475,0.728724099318343,0.47672383619181,0.142183892628979
"732",0.243825640395799,0.0344,0.105163615110559,0.686073929782188,0.672806067172264,0.249431691965804
"733",0.0714425606342598,0.1644,0.0592433588087093,0.645756268571785,0.226950354609929,0.0594903610912296
"734",0.250826114816446,0.1705,0.107933453114564,0.700964763686194,0.37865055387714,0.0998335223787886
"735",0.261915064267785,0.1359,0.112364986821106,0.699958912663128,0.445970849388507,0.127270430684887
"736",0.134099615612315,0.1139,0.0676858321036173,0.651429232957169,0.751903641146338,0.0972608713125337
"737",0.0961447277932881,0.0222,0.0527051066007973,0.630496215018439,0.548631204095259,0.183337548005993
"738",0.142415217749243,0.0174,0.0675378612262765,0.647501189840945,0.636152632067589,0.222733022639856
"739",0.233377163596019,0.232,0.171156987538138,0.757612806867303,0.852959501557632,0.0987829279603521
"740",0.344938346709675,0.1226,0.179922077325042,0.750639487960211,0.568810008728542,0.197132529240189
"741",0.00808934831028491,0.1998,0.104819469310781,0.697923543016668,0.824346303015138,0.0786202179960413
"742",0.00454977252400046,0.2504,0.0568599262711024,0.654962545616697,0.856089411222491,0.0329805009946689
"743",0.15890947094147,0.1146,0.0836022432827601,0.669754744902241,0.748102534727195,0.116137928884881
"744",0.129491622556125,0.023,0.067415889039509,0.645741629287573,0.56329391151993,0.211968969194829
"745",0.18659263776487,0.0177,0.0915369336921674,0.674605108137313,0.607051826677995,0.263205511593861
"746",0.250918880577004,0.1011,0.0961629538570983,0.681898261309935,0.505750350631136,0.141280985926982
"747",0.49536993265353,0.1569,0.412402176597454,0.874745271802291,0.724806201550388,0.299658535827234
"748",0.0684580952165689,0.1507,0.0833735982570005,0.672832063389111,0.786865828781997,0.0892949048405995
"749",0.109634533872689,0.1057,0.0673906025894878,0.648568374723666,0.404453306746427,0.10110506792438
"750",0.102774266433205,0.0683,0.0761954761837543,0.658228983205869,0.494566657831964,0.153909684430264
"751",0.450941144929766,0.0338000000000001,0.255865110089253,0.790358749800488,0.712820512820513,0.422803186699325
"752",0.0335901802659272,0.057,0.0469467449037784,0.622932794598603,0.678020565552699,0.118978807593659
"753",0.56039628404849,0.0441,0.358036791302618,0.840400275438704,0.768070395977373,0.485657456631536
"754",0.285815779232698,0.0674,0.127162460334145,0.707465544711576,0.708709732401568,0.220518045692338
"755",0.183784880473858,0.1754,0.0824190530784691,0.677015386787976,0.798706240487062,0.0758190064169131
"756",0.139826307729216,0.1243,0.156873578879047,0.734059559536065,0.511598548208932,0.178131928364614
"757",0.200988814856177,0.00360000000000005,0.0887953855154191,0.670313509052309,0.619647355163728,0.292671464311823
"758",0.492573681152323,0.0209,0.289876313048353,0.809916077767719,0.749828380896342,0.488052392039416
"759",0.531083167448836,0.0765,0.334708069642164,0.832270131508482,0.743774211400111,0.39481262877591
"760",0.33513589443432,0.1838,0.198823994987069,0.773604928295371,0.818832599118943,0.151141933228791
"761",0.0729143032113817,0.1945,0.0896683456703877,0.682398079839374,0.818635187172527,0.0699223824043375
"762",0.403463695383332,0.1428,0.248841220489094,0.799393714927205,0.803359309979572,0.228574861232319
"763",0.0231060601020951,0.1549,0.0503642952305439,0.631321231795671,0.785773683873857,0.0553390285083483
"764",0.159956523552597,0.1831,0.0776493647003808,0.672627371764392,0.804591932752023,0.067874986884896
"765",0.0556729069167748,0.0419,0.0473425568687007,0.625984981976833,0.507542579075426,0.138840526960193
"766",0.382221239289717,0.1759,0.214667740736799,0.782814589974518,0.558531746031746,0.168769450207681
"767",0.418371463656244,0.2134,0.268259774416017,0.823325969561642,0.83940620782726,0.16956276303179
"768",0.108092110635959,0.223,0.0679811428127668,0.662447683389008,0.835815517655537,0.045881696314383
"769",0.0311495303628147,0.364,0.0799964442544971,0.719124710648148,0.927547129276545,0.0221676737315903
"770",0.433657265207811,0.0226,0.255098477346373,0.790970143642267,0.734355169383969,0.451740229755961
"771",0.141567544710725,0.126,0.0873612665772197,0.674291187575815,0.758581640597353,0.109348668685553
"772",0.117149271164834,0.1465,0.108368657064355,0.691317692591268,0.413974455296769,0.112565803817435
"773",0.078753514327958,0.054,0.06372118864511,0.644516480225348,0.679672646110606,0.153179351736136
"774",0.244539836180899,0.0898,0.133382048809368,0.71112541517185,0.742901594710229,0.193399554115309
"775",0.154714230424704,0.2601,0.0837853114003977,0.69513264171434,0.110823790173624,0.0470936181423501
"776",0.325592151977691,0.1589,0.166059889595939,0.747258418980418,0.511085180863477,0.152091031760661
"777",0.482761679051358,0.0997,0.275277893340118,0.80544731521394,0.698053839878802,0.309933780290825
"778",0.360970362890126,0.1306,0.19220989137622,0.761431048299924,0.774574559017795,0.199678398530955
"779",0.287195549050948,0.0281,0.149851448125501,0.722544593746673,0.699712126664268,0.323149484712597
"780",0.262313801398645,0.0858,0.10848828004893,0.692762141979529,0.709443298969072,0.173190386972794
"781",0.00453969780853392,0.1084,0.0396840406949579,0.615154016731372,0.743186654767625,0.0637369463110046
"782",0.0244649035024971,0.1391,0.0979592392199927,0.684771754266692,0.776785714285714,0.110390880934318
"783",0.343707172190877,0.195,0.185828197058288,0.767515980658096,0.813305444976722,0.137098571139398
"784",0.0118291482243631,0.2016,0.0806753463142907,0.672382361954751,0.211719181868436,0.0613484224896479
"785",0.550338718866731,0.00249999999999995,0.350434211411914,0.83451186279657,0.779759519038076,0.592919201437983
"786",0.21406796176897,0.1304,0.180698629564505,0.753434267324258,0.539643515673018,0.193960949279278
"787",0.0278125158542631,0.1848,0.0556222646299818,0.645285156805944,0.186413902053712,0.0483978279605383
"788",0.116715494381751,0.049,0.0639417456611856,0.643915120820359,0.500381582294582,0.159251789804679
"789",0.309522114874272,0.165,0.137811843297089,0.727098103467624,0.458981612446959,0.126498566602556
"790",0.21484478397752,0.0771,0.1019381918118,0.685649035943,0.720453275875828,0.175306099729303
"791",0.104137010029912,0.1917,0.0553691448064991,0.644562506614854,0.814688508617015,0.045975666015848
"792",0.0232748504613225,0.0332,0.038888336670448,0.61178541743405,0.506026943984874,0.133984270859595
"793",0.397673954398135,0.0137,0.213176674801032,0.764919110671528,0.71280276816609,0.429541208957884
"794",0.252791559225031,0.155,0.148616646383841,0.732003230445846,0.779186217522235,0.147677609060134
"795",0.00282078499718891,0.2413,0.107722054873586,0.708929209548453,0.853125186200322,0.0637730571718087
"796",0.263920657124409,0.1517,0.142013647245198,0.727625018002124,0.782081128747795,0.140379276990366
"797",0.377696164433298,0.2148,0.21579880300252,0.792913954687548,0.474107695481741,0.141629698181082
"798",0.17244877899118,0.145,0.107059606268698,0.694366459220439,0.778238628508226,0.113515700977903
"799",0.0837673158436686,0.035,0.0443998792735334,0.619625042709275,0.522499417113546,0.14406631128493
"800",0.0180160162959709,0.1212,0.0466146485238885,0.627245543081449,0.287690179806362,0.0647436466297446
"801",0.0843914015843857,0.0235,0.0698095449472703,0.650589792852411,0.583520359089452,0.214249046536843
"802",0.232102238099793,0.0305,0.153913165884617,0.722791386750097,0.658934106589341,0.327587982467101
"803",0.117434491218534,0.1375,0.0570962131314129,0.642013295469912,0.265888726818087,0.0694078136733286
"804",0.160923663563494,0.052,0.139762204160437,0.714870519539337,0.706561047012227,0.264471045810065
"805",0.0698514898689733,0.0317,0.0790932430203088,0.659158125635479,0.570412359675447,0.215337126701127
"806",0.110486664515064,0.2497,0.0776822738865889,0.683610772848226,0.85560319851663,0.0467095243081007
"807",0.0616704038300678,0.0485,0.0481707682529914,0.623723373218614,0.668090349075975,0.131941006843518
"808",0.141298757947783,0.1865,0.0992070120951152,0.694381666939646,0.811634700876413,0.081292336536851
"809",0.367668250591864,0.106,0.224524685451395,0.779483297314503,0.639612807148176,0.264596357403608
"810",0.160134567350342,0.1259,0.0730122342803662,0.65961769929676,0.760899369344667,0.0936908077254951
"811",0.313866296984068,0.0213,0.137380983890046,0.713863851563263,0.6779725974897,0.320592470911406
"812",0.0632828715220202,0.1434,0.0569969221303632,0.639543831834211,0.277672757823987,0.0659155833190854
"813",0.194489327692101,0.0667,0.0970575175525147,0.679860294665335,0.704320026231658,0.183876965145274
"814",0.42805974748488,0.124,0.23027571748314,0.783068143071468,0.770524233432245,0.237785304520632
"815",0.256839308147242,0.0605,0.112853293440968,0.695127806210731,0.584123222748815,0.213289471245796
"816",0.445721094395683,0.0749,0.238410310989505,0.780686434824929,0.691405805350028,0.318095154538942
"817",0.00345902051180114,0.1747,0.0706720671085288,0.65945366024617,0.2578660988881,0.064752927571578
"818",0.46463295533983,0.143,0.319052888542496,0.833740171029532,0.822721308944972,0.270381988008854
"819",0.185902083661136,0.1807,0.141410958678792,0.721660533401096,0.81664464993395,0.111790136918059
"820",0.0176050414157614,0.0273,0.0594314691859572,0.636977090623483,0.642048517520216,0.187791739110018
"821",0.316674973447491,0.0801,0.144150528453342,0.721093122745875,0.725420875420875,0.219288450979232
"822",0.123726127420503,0.0126,0.0676423468794942,0.648389993581524,0.621918335901387,0.232724529621913
"823",0.0375386323714447,0.0995,0.0593582320510545,0.641315911407655,0.400195217179112,0.0966660594374108
"824",0.0874409774114089,0.00779999999999997,0.0380279571805974,0.612629769580725,0.58580466587584,0.17802308892882
"825",0.00958824780705936,0.0128,0.047053090560682,0.62368109564284,0.616148370176096,0.189526036864319
"826",0.144952610698716,0.0544,0.0569932635685538,0.637706370903184,0.506154232604873,0.139716632712854
"827",0.109624993531697,0.0446,0.0557993853019418,0.636581489744561,0.503264691109995,0.151221988877549
"828",0.117996790180664,0.1175,0.0856739412768008,0.668640088910058,0.76179822414878,0.112621419286997
"829",0.163914461548405,0.1448,0.0937034659759542,0.682934761878814,0.777930089102125,0.101479111184091
"830",0.583510319855412,0.0123,0.408105354992554,0.861997966689522,0.798639591877563,0.614583703465232
"831",0.105273444111169,0.0174,0.0515242028547639,0.632182918801986,0.639303035746362,0.18895054358496
"832",0.193003338058154,0.0901,0.102132642713655,0.686906825927801,0.49760900140647,0.161509311077084
"833",0.257978938263537,0.0469,0.104046524053743,0.686777773029332,0.678804105310129,0.223750440924112
"834",0.510505673842435,0.0998,0.333271597029578,0.836414403668456,0.716718637562965,0.354230042022636
"835",0.0561730860859232,0.2073,0.0746015418526509,0.670295731405866,0.82516717325228,0.0569115480202681
"836",0.0421383346917479,0.3366,0.105920592951017,0.733989371211973,0.133625410733844,0.0351186751903191
"837",0.094150869232673,0.2565,0.0702172874581042,0.677100067722449,0.858750507570045,0.0401859034924241
"838",0.254410107501195,0.101,0.10904906234485,0.693861171230906,0.733821827998457,0.156191519745703
"839",0.0179329566807719,0.2383,0.0611001326438905,0.656546908229985,0.0898328690807799,0.0375076030451148
"840",0.470970088901097,0.0535,0.293840463961839,0.810797986143355,0.765090637264063,0.412515384057134
"841",0.05614803147067,0.00949999999999995,0.0490192287784,0.628580437537951,0.564223629144758,0.200377651365032
"842",0.0124314978560409,0.2796,0.0634120263871119,0.669914721961749,0.876264767395851,0.031368235951528
"843",0.0120961979294173,0.1696,0.0607358208969309,0.648211429034283,0.220236657812123,0.0586822701018422
"844",0.193106610550001,0.1866,0.129321904171788,0.72097905367235,0.348131868131868,0.110503409269494
"845",0.0589402926489556,0.2634,0.0736027768286305,0.679020602540886,0.865987686288049,0.0392750422621149
"846",0.0419645004186448,0.2477,0.0967500703432951,0.700329524215124,0.854436748949269,0.0567026819730801
"847",0.0669702513080837,0.2608,0.0628467569551079,0.665400561897527,0.0584749111023311,0.0346678281170772
"848",0.23735413832296,0.126,0.129407408264677,0.712665724146179,0.753242858213991,0.156290550756075
"849",0.320322419594755,0.2503,0.191593571807241,0.788081456777855,0.30607476635514,0.106697399120168
"850",0.240124629078002,0.2442,0.122393418605195,0.730152848433935,0.214667925716084,0.0736092451347347
"851",0.243570776006851,0.0623,0.161810852201698,0.730840089321125,0.597460791635549,0.269215275257495
"852",0.00397539201470432,0.0395,0.0354272769108238,0.606499322270289,0.457596253902185,0.116728799213285
"853",0.445440883030676,0.1172,0.256736881320068,0.797864813689897,0.674905175578123,0.269347347427488
"854",0.337402636411478,0.0366,0.201474866966834,0.757958242171533,0.731129132875858,0.363412600337233
"855",0.12318707601112,0.2237,0.108184831963073,0.706160899239446,0.2869708631116,0.0696865649854147
"856",0.0373983382661544,0.0209,0.0724716405341359,0.653337898109092,0.583717687439665,0.224172743162662
