"","N","b","se","om","om.mean","om.sd"
"0.1 196",24467,0.1,0.0127927644031081,0.0550160004413509,0.0351189920976806,0.0251744393181046
"0.1 169",25106,0.1,0.0126957878422129,0.0472874159812737,0.0390347699364759,0.0282185256964978
"0.1 192",25438,0.1,0.0125886927402729,0.0473446032470908,0.0512761120576915,0.0144533234961372
"0.1 137",25549,0.1,0.0126166755803365,0.0428676878390413,0.0348159263312817,0.024799758528053
"0.1 227",26659,0.1,0.0122677623889047,0.0417375775659024,0.0399399587015349,0.019304169546476
"0.1 150",26895,0.1,0.0122602538550718,0.051337731297284,0.0378794132529457,0.0220810564404629
"0.1 139",29544,0.1,0.0117138804500975,0.0495802895382422,0.0353440581623913,0.0215290235501932
"0.1 98",31815,0.1,0.0112840275620561,0.050687474312478,0.0563093440175063,0.0156839168144433
"0.1 222",31817,0.1,0.0112525965901909,0.0546366713781807,0.0448347775282789,0.0156225608175706
"0.1 247",33215,0.1,0.0109717978510195,0.0488305389486905,0.0362637635295249,0.0245793652237351
"0.1 79",33294,0.1,0.0110043135216946,0.0560718908871254,0.0455082714172859,0.0124950219303219
"0.1 148",34639,0.1,0.0107585700360017,0.0430972184875176,0.0318226365346063,0.0223790568982768
"0.1 190",35305,0.1,0.0107362627468808,0.0474388339122337,0.0391041129047388,0.0164724267501222
"0.1 236",35843,0.1,0.0105375139992663,0.0452227464113175,0.0304746909115111,0.0240160709707486
"0.1 115",35992,0.1,0.0105886862272592,0.0536998343678767,0.0410764464272047,0.0178814317490353
"0.1 205",36121,0.1,0.0105370735648599,0.0512413784798129,0.0505742966783729,0.0239768457882328
"0.1 244",36760,0.1,0.0104580762875513,0.0488128759580937,0.041353109406824,0.00758176034697429
"0.1 102",37489,0.1,0.0103825244962168,0.052306170996592,0.0291962850117621,0.022485610581558
"0.1 30",38657,0.1,0.0102279568661553,0.0433348833860117,0.0488135914709979,0.00875919787312533
"0.1 23",39262,0.1,0.0101197504502473,0.0472662381932858,0.0407788153432456,0.0259810566101116
"0.1 207",39881,0.1,0.00999296177526846,0.0485633623604387,0.0325598878021778,0.0209848945738327
"0.1 226",39886,0.1,0.01006111854008,0.0515816834073011,0.0426305795509596,0.0132345692555311
"0.1 164",40207,0.1,0.0099791643361361,0.0554932936355972,0.046699939866685,0.013138053256979
"0.1 245",40328,0.1,0.0100263976998623,0.0375748595574887,0.0466206794644273,0.0212558163516808
"0.1 156",41005,0.1,0.00992182873353924,0.0513753301143027,0.0451223097784656,0.0204277927340284
"0.1 204",42085,0.1,0.00980135444319505,0.0452177557808703,0.045351253954783,0.0260311254513523
"0.1 41",42663,0.1,0.00974969520157314,0.0476666335092555,0.0455757259116114,0.0123377445410255
"0.1 138",42739,0.1,0.00975872758806389,0.045776803670198,0.0428332900613937,0.0211274785547617
"0.1 13",44667,0.1,0.00952680847707989,0.0576403415274315,0.0469158569840489,0.0108042296737264
"0.1 229",46242,0.1,0.00936597691302982,0.047013628982682,0.0412703581475209,0.0200446831692532
"0.1 68",49169,0.1,0.00902915082709361,0.0531471472242695,0.0506999927569672,0.0208070173730753
"0.1 29",52020,0.1,0.00881156209679792,0.0415087640259244,0.0504846031754018,0.0158388953323414
"0.1 63",55943,0.1,0.00843487468507199,0.0477512819268784,0.0404430636684812,0.013893517567269
"0.1 125",57122,0.1,0.00845272180157106,0.048000820387989,0.0454818117449109,0.0204751733861461
"0.1 223",58272,0.1,0.0083177018161669,0.0536131530823179,0.0456605119721289,0.0143892292764202
"0.1 55",60145,0.1,0.00819344541188459,0.0499521243457456,0.0419049310228515,0.0197333515028306
"0.1 188",60967,0.1,0.00814577334541484,0.0355323270396754,0.0475659773004972,0.0179641259411473
"0.1 87",62994,0.1,0.00801374495574117,0.0421786818301206,0.05614346856342,0.0126806057608094
"0.1 160",63199,0.1,0.00802632823688583,0.0444978475188165,0.0453633784093475,0.0171816646570767
"0.1 167",63633,0.1,0.00795565102654055,0.0473431048597333,0.0483405269576884,0.0117455621316196
"0.1 182",64268,0.1,0.00794844841519509,0.0467988086186069,0.0465472334065315,0.0138873199143889
"0.1 92",65925,0.1,0.00777497510437987,0.0541530419168951,0.0452111975782746,0.0121545234760488
"0.1 42",67891,0.1,0.00772927966001793,0.0397254362244923,0.0454934851354225,0.00845332434764014
"0.1 238",68492,0.1,0.00767954479456524,0.0455139999723395,0.0480617730615606,0.0206432295738401
"0.1 123",69491,0.1,0.00762418331569807,0.0525045702212208,0.0347712881013964,0.016568022082854
"0.1 35",72965,0.1,0.00742399182212411,0.0501222707216247,0.0410845553123717,0.0124350934977733
"0.1 58",73606,0.1,0.00740012545931384,0.0443854779513275,0.0424251612242047,0.0184728511297524
"0.1 215",76532,0.1,0.00723573571328472,0.0499679580992816,0.039290776559416,0.0172795984386939
"0.1 216",77352,0.1,0.00717098846096478,0.0449854741994775,0.0433120089146113,0.0205130942969153
"0.1 22",77548,0.1,0.00717665096401678,0.0514556369971662,0.0357801766117498,0.018342926184857
"0.1 165",79336,0.1,0.00711899458839662,0.0452220698387544,0.0432697637720823,0.0159964974946264
"0.1 131",83965,0.1,0.00690029101144503,0.0423951622763701,0.0478797878418644,0.00892553787636154
"0.1 74",84712,0.1,0.00688383077054029,0.046646426088492,0.0442880039499971,0.0155626182546839
"0.1 86",87425,0.1,0.006771404068695,0.0509314200417752,0.0488317137453693,0.0106566521634679
"0.1 203",89021,0.1,0.00671819161365652,0.0559454357940143,0.0467718689432448,0.0212140043583231
"0.1 34",91197,0.1,0.00667249931111538,0.0464167081867528,0.0342384501402451,0.0148324654704298
"0.1 145",98088,0.1,0.00641414844823429,0.054541203675897,0.0458750616580128,0.00867401785052197
