,V1,V2,V3,V4,V5
strok 83,strok,83,0.116594573,0.001569976,5086
psych 83,psych,83,0.128759583,0.002313512,5087
arthr 83,arthr,83,0.745974955,-0.000254707,5031
proxy 83,proxy,83,0.063773133,0.010159933,7511
dead 83,dead,83,0.174721941,0.007409754,4945
hibp 84,hibp,84,0.675548589,-0.000967052,4466
diab 84,diab,84,0.1881232,0.000662275,4513
cancr 84,cancr,84,0.235723772,0.001594985,4518
lung 84,lung,84,0.111481976,-8.84E-05,4494
heart 84,heart,84,0.424700835,-0.000857385,4429
strok 84,strok,84,0.121809225,0.001156037,4466
psych 84,psych,84,0.127370065,0.002819514,4483
arthr 84,arthr,84,0.752368065,-0.00042681,4434
proxy 84,proxy,84,0.069563928,0.009956812,6742
dead 84,dead,84,0.192274306,0.011186833,4608
hibp 85,hibp,85,0.67907939,-0.001121448,3867
diab 85,diab,85,0.171143515,0.000219113,3909
cancr 85,cancr,85,0.229608796,0.00298629,3911
lung 85,lung,85,0.110284688,-0.000140268,3899
heart 85,heart,85,0.437336815,-0.006361394,3830
strok 85,strok,85,0.126910127,0.001942566,3861
psych 85,psych,85,0.125032158,0.002639599,3887
arthr 85,arthr,85,0.747658689,-0.000385394,3844
proxy 85,proxy,85,0.073494786,0.010949024,5946
dead 85,dead,85,0.202586207,0.011111127,4176
hibp 86,hibp,86,0.683575626,-0.000505248,3233
diab 86,diab,86,0.175807434,0.000195535,3282
cancr 86,cancr,86,0.233374009,0.002896587,3278
lung 86,lung,86,0.108762255,-0.000128065,3264
heart 86,heart,86,0.435323383,-0.000712574,3216
strok 86,strok,86,0.131708822,0.002716203,3242
psych 86,psych,86,0.129646697,0.002858664,3255
arthr 86,arthr,86,0.751243781,-3.65E-05,3216
proxy 86,proxy,86,0.081185071,0.012325525,5198
dead 86,dead,86,0.21955819,0.011110253,3712
hibp 87,hibp,87,0.68597786,-0.001477473,2710
diab 87,diab,87,0.162436548,0.000534957,2758
cancr 87,cancr,87,0.224674385,0.003117722,2764
lung 87,lung,87,0.106181818,-8.59E-05,2750
heart 87,heart,87,0.437845813,-0.005336655,2711
strok 87,strok,87,0.140819312,0.002836669,2734
psych 87,psych,87,0.121444201,0.001960792,2742
arthr 87,arthr,87,0.753246753,0.000132953,2695
proxy 87,proxy,87,0.087217044,0.015158184,4506
dead 87,dead,87,0.223676202,0.010182039,3286
hibp 88,hibp,88,0.686382393,-0.00105427,2181
diab 88,diab,88,0.170622481,-0.000314154,2233
cancr 88,cancr,88,0.22735426,0.003365183,2230
lung 88,lung,88,0.103884372,-0.000378319,2214
heart 88,heart,88,0.438724374,-0.000329436,2195
strok 88,strok,88,0.143699003,0.00216332,2206
psych 88,psych,88,0.118950701,0.00062711,2211
arthr 88,arthr,88,0.759063791,-0.0007195,2179
proxy 88,proxy,88,0.090789474,0.014839371,3800
dead 88,dead,88,0.247514205,0.016356077,2816
hibp 89,hibp,89,0.682071269,0.000218234,1796
diab 89,diab,89,0.154639175,-0.000574769,1843
cancr 89,cancr,89,0.212039046,0.002906905,1844
lung 89,lung,89,0.093989071,-0.000282505,1830
heart 89,heart,89,0.447951274,-0.00088281,1806
strok 89,strok,89,0.141992295,0.000464924,1817
psych 89,psych,89,0.111719606,0.001340165,1826
