,V1,V2,V3,V4,V5
arthr 77,arthr,77,0.730337079,0.000233081,8989
proxy 77,proxy,77,0.033870437,0.000918304,12164
dead 77,dead,77,0.128459785,-0.000154011,6142
hibp 78,hibp,78,0.672759857,0.002091823,8370
diab 78,diab,78,0.224460773,0.003115028,8438
cancr 78,cancr,78,0.22609209,0.00199296,8470
lung 78,lung,78,0.128339072,0.000824749,8423
heart 78,heart,78,0.373277412,-0.000264331,8345
strok 78,strok,78,0.100619933,0.000144532,8388
psych 78,psych,78,0.135135135,0.00257461,8399
arthr 78,arthr,78,0.731115648,0.000430153,8327
proxy 78,proxy,78,0.034121889,0.000699234,11371
dead 78,dead,78,0.129660453,-4.67E-05,6008
hibp 79,hibp,79,0.675661583,0.002113097,7671
diab 79,diab,79,0.213040671,0.002620167,7745
cancr 79,cancr,79,0.227571116,0.002994186,7769
lung 79,lung,79,0.119352751,0.000366768,7725
heart 79,heart,79,0.37596443,-0.000289507,7647
strok 79,strok,79,0.101714731,0.000217919,7698
psych 79,psych,79,0.13487526,0.002574199,7696
arthr 79,arthr,79,0.734014675,0.000121304,7632
proxy 79,proxy,79,0.036251775,0.000520813,10565
dead 79,dead,79,0.144315861,0.000138422,5876
hibp 80,hibp,80,0.67819377,0.000774143,6998
diab 80,diab,80,0.214760356,0.002416266,7073
cancr 80,cancr,80,0.229957806,0.002701562,7110
lung 80,lung,80,0.117081448,8.11E-05,7072
heart 80,heart,80,0.390153142,-0.001109422,6987
strok 80,strok,80,0.10507607,0.000203811,7033
psych 80,psych,80,0.131496734,0.002391415,7042
arthr 80,arthr,80,0.735521789,0.000163204,6976
proxy 80,proxy,80,0.040536391,0.000521507,9769
dead 80,dead,80,0.152131612,0.000100115,5653
hibp 81,hibp,81,0.676336119,0.000398639,6343
diab 81,diab,81,0.20174482,0.001214766,6419
cancr 81,cancr,81,0.229419074,0.003076093,6438
lung 81,lung,81,0.116536661,-1.03E-06,6410
heart 81,heart,81,0.390822785,-0.000617973,6320
strok 81,strok,81,0.106666667,0.000335856,6375
psych 81,psych,81,0.135177617,0.002663352,6362
arthr 81,arthr,81,0.73895137,-0.000256538,6313
proxy 81,proxy,81,0.047460634,0.000580742,9018
dead 81,dead,81,0.158866545,-3.05E-05,5470
hibp 82,hibp,82,0.676444757,-2.38E-05,5693
diab 82,diab,82,0.201699618,0.001450022,5766
cancr 82,cancr,82,0.231926669,0.002055446,5782
lung 82,lung,82,0.117023126,-0.000203775,5751
heart 82,heart,82,0.406062742,-0.002099271,5674
strok 82,strok,82,0.11089766,0.000197527,5726
psych 82,psych,82,0.133706685,0.002328776,5714
arthr 82,arthr,82,0.745534925,-0.000125297,5655
proxy 82,proxy,82,0.056394155,0.00080114,8281
dead 82,dead,82,0.163768393,-0.000106667,5233
hibp 83,hibp,83,0.67408867,-0.000202563,5075
diab 83,diab,83,0.185964912,0.000279566,5130
cancr 83,cancr,83,0.233794043,0.003008494,5137
lung 83,lung,83,0.114000782,-0.000121114,5114
heart 83,heart,83,0.410948036,0.000212582,5042
strok 83,strok,83,0.116594573,1.38E-05,5086
psych 83,psych,83,0.128759583,0.001543406,5087
arthr 83,arthr,83,0.745974955,-0.000480104,5031
proxy 83,proxy,83,0.063773133,0.000851159,7511
dead 83,dead,83,0.174721941,-0.000135783,4945
hibp 84,hibp,84,0.675548589,-0.000409843,4466
diab 84,diab,84,0.1881232,0.000760739,4513
cancr 84,cancr,84,0.235723772,0.001224246,4518
lung 84,lung,84,0.111481976,-0.000185654,4494
heart 84,heart,84,0.424700835,-0.002747297,4429
strok 84,strok,84,0.121809225,-0.000184894,4466
psych 84,psych,84,0.127370065,0.001290064,4483
arthr 84,arthr,84,0.752368065,-0.000323842,4434
proxy 84,proxy,84,0.069563928,0.000561024,6742
dead 84,dead,84,0.192274306,-0.000109379,4608
hibp 85,hibp,85,0.67907939,-0.000504479,3867
diab 85,diab,85,0.171143515,0.000334074,3909
cancr 85,cancr,85,0.229608796,0.003088097,3911
lung 85,lung,85,0.110284688,-0.00019969,3899
heart 85,heart,85,0.437336815,-0.000259424,3830
strok 85,strok,85,0.126910127,-8.99E-05,3861
psych 85,psych,85,0.125032158,0.00178632,3887
arthr 85,arthr,85,0.747658689,-0.000431178,3844
proxy 85,proxy,85,0.073494786,0.000641088,5946
dead 85,dead,85,0.202586207,-0.000261822,4176
hibp 86,hibp,86,0.683575626,-0.000340325,3233
diab 86,diab,86,0.175807434,0.000499986,3282
cancr 86,cancr,86,0.233374009,0.001501439,3278
lung 86,lung,86,0.108762255,-3.29E-05,3264
heart 86,heart,86,0.435323383,-0.001652538,3216
strok 86,strok,86,0.131708822,-0.00048707,3242
psych 86,psych,86,0.129646697,0.003199061,3255
arthr 86,arthr,86,0.751243781,-0.000207803,3216
proxy 86,proxy,86,0.081185071,0.000807821,5198
dead 86,dead,86,0.21955819,-0.000274008,3712
hibp 87,hibp,87,0.68597786,-0.001064828,2710
diab 87,diab,87,0.162436548,0.000327217,2758
cancr 87,cancr,87,0.224674385,0.002511834,2764
lung 87,lung,87,0.106181818,-8.67E-05,2750
heart 87,heart,87,0.437845813,-0.000782467,2711
strok 87,strok,87,0.140819312,-0.000300593,2734
psych 87,psych,87,0.121444201,0.001318167,2742
arthr 87,arthr,87,0.753246753,-0.000401199,2695
proxy 87,proxy,87,0.087217044,0.001834841,4506
dead 87,dead,87,0.223676202,3.53E-05,3286
hibp 88,hibp,88,0.686382393,-0.000297102,2181
diab 88,diab,88,0.170622481,0.000223953,2233
cancr 88,cancr,88,0.22735426,0.00317996,2230
lung 88,lung,88,0.103884372,0.000349828,2214
heart 88,heart,88,0.438724374,-0.002610118,2195
strok 88,strok,88,0.143699003,-0.000194802,2206
psych 88,psych,88,0.118950701,0.001986316,2211
arthr 88,arthr,88,0.759063791,-0.00041525,2179
proxy 88,proxy,88,0.090789474,0.0012148,3800
dead 88,dead,88,0.247514205,2.95E-06,2816
hibp 89,hibp,89,0.682071269,-0.000614292,1796
