"","","","","imv",""
"proxy 82","proxy","82","0.0427540255413659","0.0030814832337736","1801"
"hibp 83","hibp","83","0.717015468607825","0.00253975911662277","1099"
"diab 83","diab","83","0.216998191681736","-0.000645990343145301","1106"
"cancr 83","cancr","83","0.250452079566004","-0.00273256892976777","1106"
"lung 83","lung","83","0.109800362976407","-0.000409590239169856","1102"
"heart 83","heart","83","0.427389705882353","-0.000583397372960798","1088"
"strok 83","strok","83","0.102846648301194","0.00364713806799893","1089"
"psych 83","psych","83","0.113138686131387","-0.00061353204233358","1096"
"arthr 83","arthr","83","0.744916820702403","0.0043830747879382","1082"
"proxy 83","proxy","83","0.0476190476190476","0.00398765634908689","1638"
"proxy 84","proxy","84","0.0561189993238675","0.00366413700949275","1479"
"proxy 85","proxy","85","0.0493171471927162","0.000917263478718233","1318"
"proxy 86","proxy","86","0.0578723404255319","-0.00050399252053328","1175"
