"","b0","b1","b2","prev","ew","r2","auc","f1"
"704",0.800778375472873,0.937644029036164,0.3,0.6515,0.138449679457566,0.140535111001312,0.719783711881298,0.496598639455782
"705",0.968352042604238,0.438269284088165,0.3,0.7055,0.0367123968746257,0.0468195935695191,0.634270634270634,0.0773993808049536
"706",0.307492297142744,0.737498241476715,0.3,0.5675,0.246044740755789,0.120741917197897,0.699842157809854,0.560549313358302
"707",0.539867272833362,0.986720711691305,0.3,0.6265,0.199257778126926,0.178469585563835,0.748466172952808,0.529320987654321
"708",0.40385335800238,0.589359399396926,0.3,0.5905,0.168308668021173,0.0762318021026622,0.659540317460317,0.446064139941691
"709",0.109810099005699,0.570805455790833,0.3,0.524,0.240420135371485,0.0909337958853542,0.677935004173087,0.590308370044053
"710",0.152111819712445,0.112947226967663,0.3,0.544,0.00409941065608686,0.000690985264956256,0.531441961182913,0.284597341673182
"711",0.705252300016582,0.493638262851164,0.3,0.66,0.034348301953963,0.0354672763103642,0.616043813274352,0.233918128654971
"712",0.47937623062171,0.286528269294649,0.3,0.5985,0.0353985893228034,0.0223679586397003,0.595274877843231,0.0567200986436498
"713",0.641661830479279,0.788344923872501,0.3,0.64,0.146700682528353,0.131204928204148,0.710238095238095,0.456260720411664
"714",0.035076895263046,0.331891531357542,0.3,0.5165,0.14258979224069,0.0235364101386166,0.591823147558578,0.52292576419214
"715",0.649635152425617,0.0107249247375876,0.3,0.6425,-0.000149155593136012,-0.000117563901267603,0.518611722878747,NA
"716",0.148459499469027,0.411762009840459,0.3,0.5415,0.119052826761231,0.0360593687345425,0.608980646251626,0.482587064676617
"717",0.88841790263541,0.591447808546945,0.3,0.681,0.0654578323855452,0.0758893178298893,0.667507421120486,0.242574257425743
"718",0.32058128924109,0.454469329444692,0.3,0.5725,0.104138382798717,0.0464429970178565,0.626114851081191,0.386175807663411
"719",0.253002311103046,0.667071829317138,0.3,0.5445,0.188636714213286,0.100481826360616,0.683878008975928,0.575832305795314
"720",0.523451278219,0.800724762026221,0.3,0.6145,0.182864245412141,0.118242750620608,0.697673745133812,0.49251497005988
